question,answer,category,product,language
"9495701533 Tel number is wrong, sorry, correct number is 9495701533. 100 gram cinnamon","We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,cinnamon,english
Cinnamon I have not received my order get,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,cinnamon,english
I haven't received my order yet,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,cinnamon,english
Order vanno? Already paid,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,cinnamon,english
My parcel is very delayed,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,cinnamon,english
I haven't received my order yet,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,combo,english
"👍 <!-- ❤ Packing was good. Delivered in time... Good product.. https://www.threads.com/@the_lady_foodie/post/DYwKJQgAU9a?xmt=AQG0wWY84MO1hTU9yjUyz9ay3i0IDgpPUkfXfK1lAW8HJNYCOk-FgrVUUoGE1Dn3pwXbw9by source_surface=35 slof=1 ALIBABA BIRIYANI...PERUNAL SPL COMBO...☝️ <img src=""https://bot.wabis.in/assets/em 👍 Wrongly sent unable to delete...","We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,combo,english
Wrongly sent unable to delete... https://www.threads.com/@the_lady_foodie/post/DYwKJQgAU9a?xmt=AQG0wWY84MO1hTU9yjUyz9ay3i0IDgpPUkfXfK1lAW8HJNYCOk-FgrVUUoGE1Dn3pwXbw9by&source_surface=35&slof=1 ALIBABA BIRIYANI...PERUNAL SPL COMBO...☝️ Packing was good. Delivered in time... Good product.. [Image: https://bot-data.s3.ap-southeast-1.wasabisys.com/livechat/20],"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,combo,english
Order vanno? Already paid,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,combo,english
My parcel is very delayed,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,combo,english
I paid but nothing arrived,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,combo,english
Order number 1559 is not delivered so far. Share the tracking details.,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,general,english
"Hi, I have not received my ordered items. And I am not able to track them too . Can you please help and guide as to by when can I receive my package","We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,general,english
My order was never delivered. And I am under the impression that u cheated me. I was very busy and failed to follow up.,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,general,english
But you have already refunded me my amount 🇬🇧 English --> 01:02 PM,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,general,english
Bakki 100 gram monday ayakkam If not able to send.. will you be able to refund... It's already to late.. Day after tomorrow my friend is coming to MU.. So will not help me.... Onnu bokit paramo ? Onnu bokit paramo ? Onnu nokit parayamo ? <!-- <i,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,general,english
I have not received the item yet. Already paid 240 pl [Image: https://bot-data.s3.ap-southeast-1.wasabisys.com/livechat/20],"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,general,english
I haven't received my order yet,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,general,english
Order vanno? Already paid,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,general,english
My parcel is very delayed,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,general,english
Cardamom is pure? Cod available? How many days to get in Bangalore Ok,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
"Cash on delivery available aano? Sreeja.k.v Meethal (H) Keecheri, P.o. Anchampeedika Kannur 670331 P.h. 9567956812",1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
കുരുമുളക് 250 ഗ്രാം ഏലക്ക 100ഗ്രാം Cash on delivery undo,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
"I remitted excess money,if not forwarded items,u can post more cardamom.",1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
"250 gm Elakka 500 gm Pepper Need it , cash on delivery available? Having a Gramphoo (Clove) and price for 250gm ?",1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
I received my parcel today But I have received less products I have ordered 2 packets of 50gms each cardamom and white pepper. *BUT I HAVE RECEIVED JUST ONE PACKET OF CARDAMOM*,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
Pl confirm receipt of pymnt ₹439 from TD Mohanan Pillai for 100 gms grade 1 A+ cardamom. My mobile no 9349118695 Also confirm date of desp with postal receipt number,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
One kg black pepper and 100g cardamom Home delivery please,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
Sir I want cardamom 200 g testing purpose my hotal is there in Karnataka. I will order again cash on delivery available sir.,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
"Black pepper, garbled or ungarbled, cardamom, chili, tea , coffee etc, selling price per kilo with parcel charges, to get",1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
Hello! What is the price of cardamom today per kg.,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
Cardamom 100gm 399 + 40 parcel charge sending,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
I have ordered 2 packets of 50gms each cardamom and white pepper. *BUT I HAVE RECEIVED JUST ONE PACKET OF CARDAMOM* But I have received less products I received my parcel today,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
1kg elakka price online shopping cash on delivery only,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
1 kg cardamom online shopping price cash on delivery only,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
Hai Please let me know the price of cardamom 8mm+ export quality. I require 3 - 5 kgs.. Also advise me the price so that i can take delivery from your place.. Thanks George,1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
"Hi, I have a question regarding spices. I ordered cardamom 100 gm through your website on last week , payment was done on the same day, 8 didn't get any shiping update yet",1. *First Quality കുരുമുളക്* 250 gm : ₹300 + 40 (Delivery) 500 gm : ₹560 (Delivery) 3. *7.5-8 mm ഏലക്ക (A+ Grade)* 100 gm : ₹440 + 40 (Delivery) 200 gm : ₹840 Free Delivery Free 40 Rupees 4. *Special Offer Combo - (Free Delivery)*🌟 ഏലക്ക 50 gm + കുരുമുളക് 250gm = *499(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 250gm = *649(Free Delivery)* ഏലക്ക 100gm + കുരുമുളക് 500gm = *845(Free Delivery)* Combo വാങ്ങുമ്പോൾ Free Delivery ആണ് Basil Idukki Buy ( ഓർഡർ ചെയ്യാം),delivery_query,cardamom,english
